date,open,high,low,close,volume
1/9/2020,214.4076,214.8974,213.2348,214.486,22908853
1/10/2020,215.2402,215.3479,213.5555,213.9375,21914631
1/13/2020,214.7994,216.4351,214.4762,216.4057,22528847
1/14/2020,216.2098,216.6603,215.2206,215.5536,24573340
1/15/2020,215.6515,216.6506,214.9365,215.6417,25742084
1/16/2020,216.6897,217.7475,216.2588,217.7083,18804959
1/17/2020,218.6486,218.962,217.5537,218.7857,24325167
1/21/2020,218.1491,219.2363,218.0805,218.6878,20813609
1/22/2020,219.7651,220.5193,218.9914,219.2656,20736403
1/23/2020,219.1089,220.0688,218.1197,219.9708,26496113
1/24/2020,220.9796,221.2343,217.111,218.1197,37436483
1/27/2020,213.2421,214.7744,212.7132,213.6143,42264418
1/28/2020,215.0835,217.3949,214.5546,216.8954,26731876
1/29/2020,218.0805,218.345,216.2882,217.248,29063128
1/30/2020,215.8376,218.1197,215.1707,218.0218,39568093
1/31/2020,218.9032,218.962,213.7955,214.5644,52015832
2/3/2020,215.6124,218.3009,215.4654,217.8063,25468307
2/4/2020,220.7544,223.1736,220.0318,222.7916,30691211
2/5/2020,225.485,225.5144,222.1843,223.5262,38534817
2/6/2020,224.0649,225.5144,223.2911,225.4557,22467077
2/7/2020,224.4468,225.7005,223.8396,224.486,25884933
2/10/2020,223.7318,227.2088,223.6829,227.199,21478925
2/11/2020,228.4135,229.2069,226.6407,227.2382,30197983
2/12/2020,228.5409,229.5595,228.012,229.4517,24471275
2/13/2020,227.8357,230.0982,227.581,229.1579,22773159
2/14/2020,229.4615,230.0296,228.7466,229.8141,23438530
2/18/2020,228.6682,230.3332,228.4527,229.9023,24521242
2/19/2020,231.2147,232.5859,230.9992,232.106,22230464
2/20/2020,231.5967,232.0766,227.1109,229.9512,42604016
2/21/2020,228.8347,229.1971,224.6046,225.534,66058611
2/24/2020,217.2774,219.6378,215.7299,216.8366,84522551
2/25/2020,218.5996,219.3811,210.3234,210.9405,97742982
2/26/2020,212.2137,215.7495,210.4801,212.0276,80400053
2/27/2020,206.7093,211.9723,201.2735,201.4106,121822562
2/28/2020,194.8288,202.9091,194.0942,201.5673,149247073
3/2/2020,204.5839,212.1158,201.7044,211.9689,112933945
3/3/2020,212.6447,215.0933,203.3499,205.1716,131953546
3/4/2020,208.9326,213.8396,207.0227,213.7318,73086209
